iter	Passed	Remaining
0	0	87
1	1	77
2	2	73
3	2	68
4	3	67
5	4	66
6	4	65
7	5	65
8	6	65
9	7	64
10	7	63
11	8	63
12	9	62
13	10	62
14	10	61
15	11	61
16	12	61
17	13	61
18	14	61
19	15	61
20	16	61
21	17	60
22	17	59
23	18	59
24	19	58
25	20	57
26	21	56
27	21	56
28	22	55
29	23	54
30	24	54
31	25	53
32	26	52
33	26	52
34	27	51
35	28	50
36	29	50
37	30	49
38	31	48
39	31	47
40	32	47
41	33	45
42	33	44
43	34	44
44	35	43
45	36	42
46	37	41
47	37	41
48	38	40
49	39	39
50	40	38
51	41	38
52	42	37
53	42	36
54	43	35
55	44	34
56	45	34
57	45	33
58	46	32
59	47	31
60	48	30
61	49	30
62	50	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	59	19
75	60	19
76	61	18
77	62	17
78	63	16
79	63	15
80	64	15
81	65	14
82	66	13
83	67	12
84	67	11
85	68	11
86	69	10
87	70	9
88	71	8
89	72	8
90	72	7
91	73	6
92	74	5
93	75	4
94	76	4
95	76	3
96	77	2
97	78	1
98	79	0
99	80	0
