iter	Passed	Remaining
0	0	866
1	1	767
2	2	739
3	2	728
4	3	713
5	4	709
6	5	745
7	6	750
8	6	717
9	7	705
10	7	679
11	8	670
12	8	669
13	9	666
14	9	650
15	10	669
16	12	695
17	12	692
18	13	687
19	13	673
20	14	671
21	15	673
22	15	668
23	16	665
24	17	680
25	18	676
26	18	671
27	19	665
28	19	659
29	20	654
30	20	653
31	21	649
32	21	644
33	22	645
34	23	648
35	24	646
36	24	642
37	25	638
38	25	634
39	26	631
40	26	627
41	27	624
42	27	622
43	28	621
44	29	621
45	29	621
46	30	618
47	31	616
48	31	613
49	32	611
50	32	605
51	33	603
52	33	601
53	34	600
54	34	600
55	35	602
56	36	602
57	37	600
58	37	598
59	38	597
60	38	595
61	39	590
62	39	589
63	40	587
64	40	587
65	41	586
66	42	585
67	42	584
68	43	582
69	43	582
70	44	581
71	44	579
72	45	578
73	46	576
74	46	575
75	47	576
76	47	575
77	48	571
78	48	570
79	49	568
80	50	570
81	50	570
82	51	569
83	52	568
84	52	567
85	53	566
86	53	563
87	54	564
88	54	561
89	55	560
90	56	559
91	56	557
92	57	556
93	57	555
94	58	555
95	58	554
96	59	554
97	60	554
98	60	553
99	61	551
100	61	550
101	62	549
102	63	548
103	63	545
104	63	544
105	64	543
106	65	542
107	65	541
108	66	541
109	66	539
110	67	538
111	67	537
112	68	534
113	68	532
114	69	531
115	69	530
116	70	529
117	70	528
118	71	526
119	71	526
120	72	525
121	72	525
122	73	524
123	74	522
124	74	521
125	74	519
126	75	518
127	75	517
128	77	522
129	77	521
130	78	523
131	79	522
132	80	522
133	80	522
134	81	522
135	82	521
136	82	521
137	83	520
138	83	517
139	84	518
140	85	518
141	85	517
142	86	517
143	86	516
144	87	513
145	87	512
146	88	512
147	88	511
148	89	511
149	90	511
150	90	510
151	91	510
152	91	509
153	92	508
154	93	508
155	93	508
156	94	508
157	95	509
158	96	510
159	97	510
160	98	510
161	98	510
162	99	509
163	99	508
164	100	507
165	100	506
166	101	507
167	102	507
168	103	507
169	103	507
170	104	507
171	105	506
172	105	506
173	106	506
174	107	509
175	108	509
176	109	509
177	110	508
178	110	508
179	111	507
180	111	506
181	112	506
182	113	506
183	114	506
184	115	507
185	115	506
186	116	506
187	117	505
188	117	505
189	118	505
190	119	505
191	119	504
192	120	504
193	121	503
194	121	503
195	122	502
196	123	502
197	123	501
198	124	501
199	125	501
200	125	500
201	126	499
202	127	499
203	127	498
204	128	497
205	128	497
206	129	496
207	130	495
208	130	494
209	131	494
210	132	494
211	132	493
212	133	492
